survey_id,site_code,survey_date,time_start,time_end,observer,code,common_name,distance,bird_count,observation_notes,seen,heard,direction,qccomment
30,U-13,2000-06-06,06:40:00,06:55:00,DiSt,KILL,Killdeer,40+,1,,False,True,SE,
29,U-13,2000-06-06,06:15:00,06:30:00,DiSt,GTGR,Great-tailed Grackle,FT,2,,True,False,SW,
29,U-13,2000-06-06,06:15:00,06:30:00,DiSt,ANHU,Anna's Hummingbird,40+,1,,True,False,NW,
29,U-13,2000-06-06,06:15:00,06:30:00,DiSt,EUST,European Starling,FT,1,,True,False,N,
29,U-13,2000-06-06,06:15:00,06:30:00,DiSt,EUST,European Starling,FT,1,,True,False,NW,
29,U-13,2000-06-06,06:15:00,06:30:00,DiSt,ANHU,Anna's Hummingbird,FT,1,,True,False,SW,
29,U-13,2000-06-06,06:15:00,06:30:00,DiSt,GTGR,Great-tailed Grackle,FT,2,,True,True,SE,
29,U-13,2000-06-06,06:15:00,06:30:00,DiSt,WWDO,White-winged Dove,40+,1,,True,False,W,
29,U-13,2000-06-06,06:15:00,06:30:00,DiSt,INDO,Inca Dove,40+,2,,True,False,SE,
30,U-13,2000-06-06,06:40:00,06:55:00,DiSt,KILL,Killdeer,5-10,1,600 m.,False,True,W,
30,U-13,2000-06-06,06:40:00,06:55:00,DiSt,GTGR,Great-tailed Grackle,5-10,1,,False,True,NW,
30,U-13,2000-06-06,06:40:00,06:55:00,DiSt,GTGR,Great-tailed Grackle,FT,1,,True,False,N,
30,U-13,2000-06-06,06:40:00,06:55:00,DiSt,GTGR,Great-tailed Grackle,40+,5,,True,False,N,
30,U-13,2000-06-06,06:40:00,06:55:00,DiSt,ANHU,Anna's Hummingbird,10-20,1,,True,True,W,
30,U-13,2000-06-06,06:40:00,06:55:00,DiSt,MODO,Mourning Dove,FT,1,,True,False,N,
30,U-13,2000-06-06,06:40:00,06:55:00,DiSt,MODO,Mourning Dove,FT,1,,True,False,W,
30,U-13,2000-06-06,06:40:00,06:55:00,DiSt,LOSH,Loggerhead Shrike,5-10,1,,True,False,W,
30,U-13,2000-06-06,06:40:00,06:55:00,DiSt,EUST,European Starling,5-10,3,,True,True,NW,
30,U-13,2000-06-06,06:40:00,06:55:00,DiSt,LOSH,Loggerhead Shrike,10-20,2,,True,True,NW,
30,U-13,2000-06-06,06:40:00,06:55:00,DiSt,MODO,Mourning Dove,FT,2,,True,False,E,
29,U-13,2000-06-06,06:15:00,06:30:00,DiSt,GTGR,Great-tailed Grackle,FT,1,,True,False,E,
29,U-13,2000-06-06,06:15:00,06:30:00,DiSt,WWDO,White-winged Dove,FT,2,,True,False,NW,
29,U-13,2000-06-06,06:15:00,06:30:00,DiSt,MODO,Mourning Dove,FT,1,,True,False,N,
29,U-13,2000-06-06,06:15:00,06:30:00,DiSt,KILL,Killdeer,40+,1,,False,True,E,
29,U-13,2000-06-06,06:15:00,06:30:00,DiSt,GTGR,Great-tailed Grackle,40+,4,,True,False,E,
29,U-13,2000-06-06,06:15:00,06:30:00,DiSt,WWDO,White-winged Dove,FT,1,,True,False,S,
29,U-13,2000-06-06,06:15:00,06:30:00,DiSt,HOFI,House Finch,FT,2,,True,False,SW,
