site_code,location_type,lat,long
7-11A,PASS,33.43214,-112.08593
7-11B,PASS,33.43461,-112.08698
7-11C,PASS,33.4358,-112.0923
AA-17,ESCA,33.45215242,-111.80062691
AA-20,ESCA,33.31575447,-111.82392055
AA-9,PASS,33.7227922235445,-111.831559366856
AA-9B,PASS,33.65827,-111.88552
AA-9C,PASS,33.66616,-111.88956
AB-19,ESCA,33.35162,-111.77364
AB-19,ESCA,33.35172934,-111.77360147
AC-16,ESCA,33.47893705,-111.71943351
AD-10,ESCA,33.67689447,-111.71140004
AD-21,ESCA,33.30702446,-111.70294153
AE-23,ESCA,33.21869957,-111.62649983
AF-12,ESCA,33.6102352,-111.62201023
Ave35_dwn_B1,SRBP,33.4119291,-112.13486343
Ave35_dwn_B1,SRBP,33.4119545761495,-112.134755216538
Ave67_dwn_B1,SRBP,33.39764256,-112.20402578
Ave67_dwn_B1,SRBP,33.39840573,-112.20603568
Ave67_mid_B1,SRBP,33.39764256,-112.20402578
Ave67_mid_B1,SRBP,33.39613692,-112.20127241
BM_mid_B2,SRBP,33.38249101,-112.30335401
DBG,desert_fertilization,33.45716,-111.94313
EE-15A,riparian,33.3844927,-111.94664729
EE-6A,riparian,33.61083702,-112.25106619
EE-7C,riparian,33.60987126,-112.10832196
EMP,desert_fertilization,33.36277,-112.37363
EN-4B,riparian,33.73959387,-112.68089849
EN-7B,riparian,33.81620287,-111.97260135
F-8,ESCA,33.75598493,-112.74192461
G-15,ESCA,33.49892344,-112.67365342
I-11,ESCA,33.65442124,-112.61775501
I-17,ESCA,33.44059202,-112.57693338
IBWA,PASS,33.47343,-111.91157
IBWB,PASS,33.47124,-111.91148
IBWC,PASS,33.4696,-111.91415
L-7,ESCA,33.78130347,-112.45220396
M-16,ESCA,33.4826731750001,-112.444002161
M-9,ESCA,33.7231006287547,-112.440622368419
N-12,ESCA,33.62205905,-112.37598673
NDV-C,NDV,33.31217213,-111.67760412
NDV-M,NDV,33.3107187,-111.68083778
NDV-N,NDV,33.31423902,-111.6808283
NDV-O,NDV,33.31160861,-111.67849193
NDV-X,NDV,33.31232878,-111.6809102
O-9,ESCA,33.70631712,-112.35713683
P-16,ESCA,33.48209987,-112.30388325
P-18,ESCA,33.4117783,-112.29121618
PE-10B,riparian,33.38940105,-112.25664033
PE-11A,riparian,33.362931,-111.7351686
PE-13A,riparian,33.59830306,-112.06876055
PE-1D,riparian,33.43499182,-111.90406077
PN-1B,riparian,33.54746413,-111.65684525
PN-2A,riparian,33.63757429,-111.66807055
PN-7A,riparian,33.88142221,-111.95861145
Price_up_B1,SRBP,33.43850191,-111.88609801
Priest_dwn_B1,SRBP,33.43576689,-111.96029671
PWP,desert_fertilization,33.56412,-112.01406
PWRA,PASS,33.20731,-111.70968
PWRB,PASS,33.24183,-111.71894
PWRC,PASS,33.25643,-111.75764
Q-15,PASS,33.5063944266923,-112.256579389108
Q-15B,PASS,33.50165,-112.266
Q-15C,PASS,33.49738,-112.25745
Q-7,ESCA,33.78404344,-112.25000446
R-12,ESCA,33.60711789,-112.1936152
R-18,PASS,33.418739777382,-112.198706101637
R-18B,PASS,33.41015,-112.21421
R-18C,PASS,33.39753,-112.17001
Rio_mid_B2,SRBP,33.4218821,-112.07512158
Rio_mid_B2,SRBP,33.42176526,-112.07501513
S-16,ESCA,33.4667159,-112.14184589
SMW,desert_fertilization,33.34228,-112.07801
SRR,desert_fertilization,33.54671,-111.57948
T-11,ESCA,33.64813901,-112.13299133
T-11,ESCA,33.64816,-112.13335
T-13,ESCA,33.57300865,-112.13901448
T-13,ESCA,33.57299,-112.13908
T-19,ESCA,33.37853123,-112.12080379
Tonto_up_B1,SRBP,33.5585114,-111.60882633
TRSA,PASS,33.43389,-112.24509
TRSB,PASS,33.42514,-112.28805
TRSC,PASS,33.40209,-112.27385
U-12,ESCA,33.62723965,-112.0784989
U-12,ESCA,33.62722,-112.07862
U-13,ESCA,33.59794339,-112.0832672
U-13,ESCA,33.59796,-112.08335
U-18,PASS,33.4012860120768,-112.09064820221
U-18B,PASS,33.40558,-112.09829
U-18C,PASS,33.40068,-112.09386
U-21,PASS,33.31905,-112.0597
U-21,PASS,33.3191814589109,-112.059721033551
U-21B,PASS,33.3071,-112.08096
U-21C,PASS,33.30652,-112.04609
U-8,ESCA,33.77088888,-112.09187265
U-8,ESCA,33.7711,-112.0919
UMP,desert_fertilization,33.46646,-111.61554
V-13,ESCA,33.58346223,-112.02280878
V-14,ESCA,33.55222,-112.05477
V-14,ESCA,33.55217502,-112.05474325
V-14B,PASS,33.54785,-112.05521
V-14C,PASS,33.54601,-112.05283
V-16,ESCA,33.4711342620001,-112.046812844
V-18,ESCA,33.38786046,-112.02883017
V-20,ESCA,33.32819623,-112.03228427
W-15,ESCA,33.52388542,-111.99231927
W-15B,PASS,33.51892,-111.99351
W-15C,PASS,33.52015,-111.97997
W-17,ESCA,33.44463972,-111.99955512
W-17,ESCA,33.44471,-111.999657
W-6,ESCA,33.82083085,-112.01090472
WTM,desert_fertilization,33.60488,-112.49995
X-17,PASS,33.4255927446935,-111.959822
X-17B,PASS,33.42544,-111.95321
X-17C,PASS,33.42789,-111.9551
X-18,ESCA,33.41962662,-111.92893323
X-8,ESCA,33.7766713,-111.95039023
Y-19,ESCA,33.37724,-111.91532
Y-19,ESCA,33.37725132,-111.91527491
Z-23,ESCA,33.21913568,-111.87169497
Z-23,ESCA,33.21929,-111.87161
