survey_id,site_code,location_type,survey_date,time_start,time_end,observer,disturbances,sight_obstruct,noise_level,site_condition
30,U-13,ESCA,2000-06-06,06:40:00,06:55:00,DiSt,False,,,
29,U-13,ESCA,2000-06-06,06:15:00,06:30:00,DiSt,False,,,
121,AD-10,ESCA,2000-08-03,07:35:00,07:50:00,BeRa,False,,,
112,AF-12,ESCA,2000-08-03,08:40:00,08:55:00,DiSt,False,,,
119,W-6,ESCA,2000-08-04,08:30:00,08:45:00,BeRa,False,,,
113,X-8,ESCA,2000-08-04,07:30:00,07:45:00,DiSt,False,,,
114,W-17,ESCA,2000-08-09,08:15:00,08:30:00,DiSt,False,,,
115,AD-10,ESCA,2000-08-15,08:10:00,08:25:00,DiSt,False,,,
126,Y-19,ESCA,2000-08-18,08:25:00,08:40:00,BeRa,False,,,
120,AD-21,ESCA,2000-08-18,06:05:00,06:20:00,BeRa,False,,,
124,AA-20,ESCA,2000-08-18,06:50:00,07:05:00,BeRa,False,,,
125,AB-19,ESCA,2000-08-18,09:05:00,09:20:00,BeRa,False,,,
118,W-15,ESCA,2000-08-21,08:55:00,09:15:00,DiSt,False,,,
117,V-13,ESCA,2000-08-21,08:25:00,08:40:00,DiSt,False,,,
116,V-14,ESCA,2000-08-21,07:45:00,08:00:00,DiSt,False,,,
110,T-11,ESCA,2000-08-23,08:40:00,08:55:00,DiSt,False,,,
109,T-13,ESCA,2000-08-23,08:05:00,08:20:00,DiSt,False,,,
111,U-12,ESCA,2000-08-23,09:15:00,09:30:00,DiSt,False,,,
128,Z-23,ESCA,2000-08-25,06:20:00,06:35:00,BeRa,False,,,
127,AE-23,ESCA,2000-08-25,07:05:00,07:20:00,BeRa,False,,,
122,AA-17,ESCA,2000-08-29,07:10:00,07:25:00,BeRa,False,,,
123,AC-16,ESCA,2000-08-29,06:30:00,06:45:00,BeRa,False,,,
181,V-13,ESCA,2000-10-03,06:55:00,07:10:00,BeRa,False,,,
183,W-15,ESCA,2000-10-03,08:20:00,08:35:00,BeRa,False,,,
182,V-14,ESCA,2000-10-03,07:25:00,07:40:00,BeRa,False,,,
163,U-13,ESCA,2000-10-05,08:55:00,09:10:00,BeRa,False,,,
161,T-11,ESCA,2000-10-05,07:40:00,07:55:00,BeRa,False,,,
160,T-13,ESCA,2000-10-05,07:05:00,07:20:00,BeRa,False,,,
164,R-12,ESCA,2000-10-05,09:35:00,09:50:00,BeRa,False,,,
162,U-12,ESCA,2000-10-05,08:15:00,08:30:00,BeRa,False,,,
139,EE-7C,riparian,2000-10-07,09:15:00,09:30:00,DiSt,False,,,
133,U-12,ESCA,2000-10-07,08:35:00,08:50:00,DiSt,False,,,
132,PE-13A,riparian,2000-10-07,07:55:00,08:10:00,DiSt,False,,,
136,T-11,ESCA,2000-10-11,08:55:00,09:10:00,DiSt,False,,,
137,T-13,ESCA,2000-10-11,08:10:00,08:25:00,DiSt,False,,,
177,V-16,ESCA,2000-10-12,07:45:00,08:00:00,BeRa,False,,,
176,W-17,ESCA,2000-10-12,08:55:00,09:10:00,BeRa,False,,,
140,R-12,ESCA,2000-10-12,09:35:00,09:50:00,DiSt,False,,,
180,Y-19,ESCA,2000-10-12,09:25:00,09:40:00,BeRa,False,,,
179,X-18,ESCA,2000-10-12,07:00:00,07:15:00,BeRa,False,,,
178,S-16,ESCA,2000-10-12,08:15:00,08:30:00,BeRa,False,,,
135,V-14,ESCA,2000-10-13,08:15:00,08:30:00,DiSt,False,,,
138,V-16,ESCA,2000-10-13,08:45:00,09:00:00,DiSt,False,,,
134,W-17,ESCA,2000-10-13,09:25:00,09:40:00,DiSt,False,,,
141,U-13,ESCA,2000-10-14,08:20:00,08:35:00,DiSt,False,,,
144,S-16,ESCA,2000-10-17,07:55:00,08:10:00,DiSt,False,,,
145,V-18,ESCA,2000-10-17,09:25:00,09:40:00,DiSt,False,,,
146,T-19,ESCA,2000-10-17,08:40:00,08:55:00,DiSt,False,,,
170,T-19,ESCA,2000-10-17,09:10:00,09:25:00,BeRa,False,,,
171,P-18,ESCA,2000-10-17,07:55:00,08:10:00,BeRa,False,,,
173,P-16,ESCA,2000-10-17,07:20:00,07:35:00,BeRa,False,,,
220,EE-7C,riparian,2000-10-17,06:44:00,06:59:00,JoLe,False,,,
221,R-12,ESCA,2000-10-17,09:00:00,09:25:00,JoLe,False,,,
234,U-12,ESCA,2000-10-17,07:44:00,07:59:00,JoLe,False,,,
236,EE-6A,riparian,2000-10-18,08:00:00,08:15:00,JoLe,False,,,
155,AB-19,ESCA,2000-10-18,09:40:00,09:55:00,BeRa,False,,,
156,AA-20,ESCA,2000-10-18,09:10:00,09:25:00,BeRa,False,,,
174,AD-21,ESCA,2000-10-18,06:50:00,07:05:00,BeRa,False,,,
175,Z-23,ESCA,2000-10-18,08:35:00,08:50:00,BeRa,False,,,
152,AE-23,ESCA,2000-10-18,07:30:00,07:45:00,BeRa,False,,,
239,T-13,ESCA,2000-10-18,06:55:00,07:10:00,JoLe,False,,,
237,T-11,ESCA,2000-10-18,09:15:00,09:30:00,JoLe,False,,,
153,AD-10,ESCA,2000-10-19,07:30:00,07:45:00,BeRa,False,,,
154,AF-12,ESCA,2000-10-19,09:00:00,09:15:00,BeRa,False,,,
240,V-13,ESCA,2000-10-20,08:35:00,08:50:00,JoLe,False,,,
157,AC-16,ESCA,2000-10-20,06:40:00,06:55:00,BeRa,False,,,
158,AA-17,ESCA,2000-10-20,07:15:00,07:30:00,BeRa,False,,,
241,V-14,ESCA,2000-10-20,07:55:00,08:15:00,JoLe,False,,,
242,PE-13A,riparian,2000-10-20,06:55:00,07:10:00,JoLe,False,,,
238,U-13,ESCA,2000-10-20,09:50:00,10:05:00,JoLe,False,,,
244,W-17,ESCA,2000-10-21,08:25:00,08:40:00,JoLe,False,,,
143,P-16,ESCA,2000-10-21,08:35:00,08:50:00,DiSt,False,,,
142,P-18,ESCA,2000-10-21,09:10:00,09:30:00,DiSt,False,,,
243,V-16,ESCA,2000-10-21,09:19:00,09:34:00,JoLe,False,,,
245,W-15,ESCA,2000-10-21,07:15:00,07:32:00,JoLe,False,,,
246,M-9,ESCA,2000-10-24,08:48:00,09:03:00,JoLe,False,,,
248,O-9,ESCA,2000-10-24,07:45:00,08:00:00,JoLe,False,,,
247,L-7,ESCA,2000-10-24,10:16:00,10:31:00,JoLe,False,,,
